d0_kNumbMadeConstraints	d0_usedminratio	d0_usedmaxratio	d0_allratios	d1_kNumbMadeConstraints	d1_usedminratio	d1_usedmaxratio	d1_allratios	d7_kNumbMadeConstraints	d7_usedminratio	d7_usedmaxratio	d7_allratios	d21_kNumbMadeConstraints	d21_usedminratio	d21_usedmaxratio	d21_allratios
236	0	8078.9132754378	4.00981764629232e+15	239	0	6275.92465663296	424956168957596	243	0	2593.13091569494	27321142210799.2	64	0	3699.54753859863	6.58044300262824e+32
NaN	0	8037.46328804841	3313348.40616379	NaN	0	4490.58670623817	1220394.27354353	NaN	0	2322.334321658	396731.528402942	NaN	0	3699.54753859863	47631359937779.8
NaN	0	8148.52746769572	8078.9132754378	NaN	0	4542.41878574316	6275.92465663296	NaN	0	2268.89898489035	2593.13091569494	NaN	0	3699.54753859863	206994994.604593
NaN	0	417.952286733039	163298.674891178	NaN	0	301.290624691183	79089.533590356	NaN	0	180.200978750234	29806.3309163388	NaN	0	2889.34037895337	89705421903.101
NaN	0	407.774202966128	8037.46328804841	NaN	0	275.517596323723	4490.58670623817	NaN	0	174.558511947453	2322.334321658	NaN	0	3038.34230615427	165351852.336295
NaN	0	416.15825872765	8148.52746769572	NaN	0	313.484807739215	4542.41878574316	NaN	0	177.572126228029	2268.89898489035	NaN	0	3153.33285243373	165171857.503674
NaN	0	418.120185566047	417.952286733039	NaN	0	309.50576376427	301.290624691183	NaN	0	183.593254502069	180.200978750234	NaN	0	4342.48191924486	348151.367796615
NaN	0	401.681301306058	407.774202966128	NaN	0	335.676174670454	275.517596323723	NaN	0	211.641136946014	174.558511947453	NaN	0	3394.51264294144	306067.912146459
NaN	0	420.285512812359	416.15825872765	NaN	0	351.242683014824	313.484807739215	NaN	0	182.901559812059	177.572126228029	NaN	0	2660.24327686545	332101.683708597
NaN	0	420.285512812359	418.120185566047	NaN	0	351.242683014824	309.50576376427	NaN	0	182.901559812059	183.593254502069	NaN	0	2650.36241361665	392943.828611017
NaN	0	420.285512812359	401.681301306058	NaN	0	351.242683014824	335.676174670454	NaN	0	182.901559812059	211.641136946014	NaN	0	13.3209200269622	405100.093996936
NaN	0	426.606136079279	420.285512812359	NaN	0	338.836230283804	351.242683014824	NaN	0	188.383110295216	182.901559812059	NaN	0	5936.04121657564	365575.933111144
NaN	0	426.606136079279	420.285512812359	NaN	0	338.836230283804	351.242683014824	NaN	0	188.383110295216	182.901559812059	NaN	0	5394.25210894111	365575.933111144
NaN	0	433.127619507127	420.285512812359	NaN	0	333.693051391603	351.242683014824	NaN	0	188.120553037108	182.901559812059	NaN	0	6853.41395064517	365575.933111144
NaN	0	433.127619507127	426.606136079279	NaN	0	20.4369800281487	338.836230283804	NaN	0	20.2005498494358	188.383110295216	NaN	0	1434.25502020519	368817.887541214
NaN	0	433.127619507127	426.606136079279	NaN	0	20.4369800281487	338.836230283804	NaN	0	20.2005498494358	188.383110295216	NaN	0	1229.98673011711	368817.887541214
NaN	0	433.127619507127	433.127619507127	NaN	0	20.4369800281487	333.693051391603	NaN	0	20.2005498494358	188.120553037108	NaN	0	3378.16171516823	358977.980183113
NaN	0	62.428189015444	433.127619507127	NaN	0	8.55196268716401	20.4369800281487	NaN	0	88.7418744668894	20.2005498494358	NaN	0	571.156553102248	3699.54753859863
NaN	0	445.230259247939	433.127619507127	NaN	0	338.836230283804	20.4369800281487	NaN	0	188.383110295216	20.2005498494358	NaN	0	627.092292285449	3699.54753859863
NaN	0	436.935631891304	433.127619507127	NaN	0	354.225337006715	20.4369800281487	NaN	0	188.434269214854	20.2005498494358	NaN	0	2951.18341425796	3699.54753859863
NaN	0	420.856130277328	62.428189015444	NaN	0	305.070683827181	8.55196268716401	NaN	0	169.940002439037	88.7418744668894	NaN	0	634.595767250833	11731.1708292398
NaN	0	75.7695096596875	445.230259247939	NaN	0	35.9395910574357	338.836230283804	NaN	0	30.3108678674351	188.383110295216	NaN	0	7223.58552243467	368817.887541214
NaN	0	84.8467811386696	436.935631891304	NaN	0	37.7001468124593	354.225337006715	NaN	0	33.6976318897005	188.434269214854	NaN	0	13.3209200269622	374295.578008843
NaN	0	431.178945620522	420.856130277328	NaN	0	304.132462525155	305.070683827181	NaN	0	177.953346610838	169.940002439037	NaN	0	13.5432651574773	323772.529340897
NaN	0	29.4322528489894	75.7695096596875	NaN	0	29.3053075996371	35.9395910574357	NaN	0	56.320236947562	30.3108678674351	NaN	0	516.460425697288	2889.34037895337
NaN	0	53.5882453372575	84.8467811386696	NaN	0	7.81064305552292	37.7001468124593	NaN	0	103.308993111441	33.6976318897005	NaN	0	2704.87505645709	3038.34230615427
